Content,EventTemplate,IsInTrain,Dataset
Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Registering class <*> for class <*>,no-Un,Hadoop
Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Registering class <*> for class <*>,no-Un,Hadoop
Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,Registering class <*> for class <*>,no-Un,Hadoop
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",no-Un,Hadoop
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",no-Un,Hadoop
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",no-Un,Hadoop
loaded properties from hadoop-metrics2.properties,loaded properties from <*>,no-Un,Hadoop
loaded properties from hadoop-metrics2.properties,loaded properties from <*>,no-Un,Hadoop
loaded properties from hadoop-metrics2.properties,loaded properties from <*>,no-Un,Hadoop
Diagnostics report from attempt_1445144423722_0020_m_000003_0: Container killed by the ApplicationMaster.,Diagnostics report from <*>: Container killed by the ApplicationMaster.,no-Un,Hadoop
Diagnostics report from attempt_1445144423722_0020_m_000003_0: Container killed by the ApplicationMaster.,Diagnostics report from <*>: Container killed by the ApplicationMaster.,no-Un,Hadoop
Diagnostics report from attempt_1445144423722_0020_m_000003_0: Container killed by the ApplicationMaster.,Diagnostics report from <*>: Container killed by the ApplicationMaster.,no-Un,Hadoop
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 58 seconds.  Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds.  Will retry shortly ...,no-Un,Hadoop
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 134 seconds.  Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds.  Will retry shortly ...,no-Un,Hadoop
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 38 seconds.  Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds.  Will retry shortly ...,no-Un,Hadoop
JVM with ID: jvm_1445144423722_0020_m_000004 given task: attempt_1445144423722_0020_m_000002_0,JVM with ID: <*> given task: <*>,no-Un,Hadoop
JVM with ID: jvm_1445144423722_0020_m_000008 given task: attempt_1445144423722_0020_m_000006_0,JVM with ID: <*> given task: <*>,no-Un,Hadoop
JVM with ID: jvm_1445144423722_0020_m_000003 given task: attempt_1445144423722_0020_m_000001_0,JVM with ID: <*> given task: <*>,no-Un,Hadoop
Task cleanup failed for attempt attempt_1445144423722_0020_m_000001_0,Task cleanup failed for attempt <*>,no-Un,Hadoop
Task cleanup failed for attempt attempt_1445144423722_0020_m_000002_0,Task cleanup failed for attempt <*>,no-Un,Hadoop
Task cleanup failed for attempt attempt_1445144423722_0020_m_000001_0,Task cleanup failed for attempt <*>,no-Un,Hadoop
Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000008 taskAttempt attempt_1445144423722_0020_m_000006_0,Processing the event EventType: <*> for container <*> taskAttempt <*>,no-Un,Hadoop
Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000005 taskAttempt attempt_1445144423722_0020_m_000003_0,Processing the event EventType: <*> for container <*> taskAttempt <*>,no-Un,Hadoop
Processing the event EventType: CONTAINER_REMOTE_CLEANUP for container container_1445144423722_0020_01_000004 taskAttempt attempt_1445144423722_0020_m_000002_0,Processing the event EventType: <*> for container <*> taskAttempt <*>,no-Un,Hadoop
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] VM Started (Lifecycle Event),[instance: <*>] VM Started (Lifecycle Event),no-Un,OpenStack
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] VM Started (Lifecycle Event),[instance: <*>] VM Started (Lifecycle Event),no-Un,OpenStack
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] VM Started (Lifecycle Event),[instance: <*>] VM Started (Lifecycle Event),no-Un,OpenStack
Creating event network-vif-plugged:b25f912d-d8bd-4332-b55f-8e244fe36c7c for instance 127e769a-4fe6-4548-93b1-513ac51e0452,Creating event network-vif-plugged:<*> for instance <*>,no-Un,OpenStack
Creating event network-vif-plugged:e1bf6353-ae58-4e46-b2d1-65a69b992bed for instance 63a0d960-70b6-44c6-b606-491478a5cadf,Creating event network-vif-plugged:<*> for instance <*>,no-Un,OpenStack
Creating event network-vif-plugged:b73a8d80-ce9e-49ff-bb0d-a1b8571f5e26 for instance c62f4f25-982c-4ea2-b5e4-93000edfcfbf,Creating event network-vif-plugged:<*> for instance <*>,no-Un,OpenStack
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Claim successful,[instance: <*>] Claim successful,no-Un,OpenStack
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Claim successful,[instance: <*>] Claim successful,no-Un,OpenStack
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Claim successful,[instance: <*>] Claim successful,no-Un,OpenStack
"[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Total vcpu: 16 VCPU, used: 0.00 VCPU","[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",no-Un,OpenStack
"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total vcpu: 16 VCPU, used: 0.00 VCPU","[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",no-Un,OpenStack
"[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Total vcpu: 16 VCPU, used: 0.00 VCPU","[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",no-Un,OpenStack
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] During sync_power_state the instance has a pending task (spawning). Skip.,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,no-Un,OpenStack
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] During sync_power_state the instance has a pending task (spawning). Skip.,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,no-Un,OpenStack
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] During sync_power_state the instance has a pending task (spawning). Skip.,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,no-Un,OpenStack
Found block rdd_42_20 locally,Found block <*> locally,no-Un,Spark
Found block rdd_2_4 locally,Found block <*> locally,no-Un,Spark
Found block rdd_42_6 locally,Found block <*> locally,no-Un,Spark
"Block rdd_6_3 stored as bytes in memory (estimated size 344.0 B, free 369.9 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)",no-Un,Spark
"Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)",no-Un,Spark
"Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)",no-Un,Spark
Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,Successfully started service '<*>' on port <*>,no-Un,Spark
Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,Successfully started service '<*>' on port <*>,no-Un,Spark
